Libellé;Lien;État
directive européenne;https://www.lina25.fr/pages/loi.html;OK
autres ressources;https://www.sne.fr/numerique-2/ressources-pour-la-production-de-livres-nativement-accessibles/;OK
EPUB Accessibility 1.0;https://idpf.org/epub/a11y/accessibility.html;OK
EPUB Accessibility techniques 1.0;https://idpf.org/epub/a11y/techniques/techniques.html;OK
WCAG2.0;https://www.w3.org/TR/WCAG20/;OK
2.1;https://www.w3.org/TR/WCAG21/;OK
WAI-ARIA1.1;https://www.w3.org/TR/wai-aria-1.1/;OK
Digital Publishing WAI-ARIA Module 1.0;https://www.w3.org/TR/dpub-aria-1.0/;OK
RGAA;https://accessibilite.numerique.gouv.fr/;OK
4.2 Relationship to WCAG;https://idpf.org/epub/a11y/accessibility.html#sec-rel-wcag;OK
4 Techniques WCAG / 4.1 Guide général;http://www.edrlab.org/public/sne/TAE_HTML_V3/Techniques_d_Accessibilite_EPUB%201.0.htm#sec-wcag-general;OK
4 WCAG Techniques / 4.1 General Guidance;https://idpf.org/epub/a11y/techniques/techniques.html#sec-wcag-general;OK
SEM-002 : Ne pas répéter la sémantique au sein du contenu fractionné;http://www.edrlab.org/public/sne/TAE_HTML_V3/Techniques_d_Accessibilite_EPUB%201.0.htm#sem-002;OK
SEM-002: Do not repeat semantics across chunked content;https://idpf.org/epub/a11y/techniques/techniques.html#sem-002;OK
4 Techniques WCAG / 4.1 Guide général;http://www.edrlab.org/public/sne/TAE_HTML_V3/Techniques_d_Accessibilite_EPUB%201.0.htm#sec-wcag-general;OK
4 WCAG Techniques / 4.1 General Guidance;https://idpf.org/epub/a11y/techniques/techniques.html#sec-wcag-general;OK
Web;https://www.w3.org/TR/wai-aria-1.1/#role_definitions;OK
DPUB;https://www.w3.org/TR/dpub-aria-1.1/#roles;OK
table de correspondance;https://idpf.github.io/epub-guides/epub-aria-authoring//;OK
ACCESS-002 : Fournir plusieurs moyens pour accéder au contenu;http://www.edrlab.org/public/sne/TAE_HTML_V3/Techniques_d_Accessibilite_EPUB%201.0.htm#access-002;OK
ACCESS-002: Provide multiple ways to access the content;https://idpf.org/epub/a11y/techniques/techniques.html#access-002;OK
PAGE-003 : Fournir une liste de pages;http://www.edrlab.org/public/sne/TAE_HTML_V3/Techniques_d_Accessibilite_EPUB%201.0.htm#page-003;OK
PAGE-003: Provide a page list;https://idpf.org/epub/a11y/techniques/techniques.html#page-003;OK
